date	agent name	num calls handled	num calls unanswered	avg call time	total talk time	total staffed time	filename
2017-02-23	Reception L1	49	50	0 days 00:02:11.000000000	0 days 01:30:45.000000000	1 days 00:00:00.000000000	20170223_000000_agent_statistics.csv
2017-02-23	Back Office3	64	62	0 days 00:01:43.000000000	0 days 01:32:51.000000000	1 days 00:00:00.000000000	20170223_000000_agent_statistics.csv
2017-02-23	Reception Desk	52	45	0 days 00:01:53.000000000	0 days 01:25:32.000000000	1 days 00:00:00.000000000	20170223_000000_agent_statistics.csv
2017-02-23	Back Office1	4	3	0 days 00:06:13.000000000	0 days 00:22:45.000000000	1 days 00:00:00.000000000	20170223_000000_agent_statistics.csv
2017-02-24	Reception L1	78	57	0 days 00:02:21.000000000	0 days 01:58:45.000000000	1 days 00:00:00.000000000	20170224_000000_agent_statistics.csv
2017-02-24	Back Office3	63	46	0 days 00:02:03.000000000	0 days 01:34:30.000000000	1 days 00:00:00.000000000	20170224_000000_agent_statistics.csv
2017-02-24	Reception Desk	65	35	0 days 00:02:27.000000000	0 days 01:52:06.000000000	1 days 00:00:00.000000000	20170224_000000_agent_statistics.csv
2017-02-24	Back Office1	15	1	0 days 00:04:32.000000000	0 days 00:58:19.000000000	1 days 00:00:00.000000000	20170224_000000_agent_statistics.csv
2017-02-27	Reception L1	69	26	0 days 00:04:41.000000000	0 days 03:05:19.000000000	1 days 00:00:00.000000000	20170227_000000_agent_statistics.csv
2017-02-27	Back Office3	99	91	0 days 00:02:13.000000000	0 days 03:08:12.000000000	1 days 00:00:00.000000000	20170227_000000_agent_statistics.csv
2017-02-27	Reception Desk	85	51	0 days 00:03:33.000000000	0 days 03:22:57.000000000	1 days 00:00:00.000000000	20170227_000000_agent_statistics.csv
2017-02-27	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170227_000000_agent_statistics.csv
2017-02-28	Reception L1	28	32	0 days 00:03:42.000000000	0 days 01:14:32.000000000	1 days 00:00:00.000000000	20170228_000000_agent_statistics.csv
2017-02-28	Back Office3	47	63	0 days 00:01:37.000000000	0 days 01:05:28.000000000	1 days 00:00:00.000000000	20170228_000000_agent_statistics.csv
2017-02-28	Reception Desk	25	15	0 days 00:04:48.000000000	0 days 01:31:06.000000000	1 days 00:00:00.000000000	20170228_000000_agent_statistics.csv
2017-02-28	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170228_000000_agent_statistics.csv
2017-03-01	Reception L1	97	88	0 days 00:02:10.000000000	0 days 02:16:41.000000000	1 days 00:00:00.000000000	20170301_000000_agent_statistics.csv
2017-03-01	Back Office3	58	33	0 days 00:03:51.000000000	0 days 02:53:34.000000000	1 days 00:00:00.000000000	20170301_000000_agent_statistics.csv
2017-03-01	Reception Desk	49	33	0 days 00:04:01.000000000	0 days 02:21:35.000000000	1 days 00:00:00.000000000	20170301_000000_agent_statistics.csv
2017-03-01	Back Office1	60	29	0 days 00:02:01.000000000	0 days 01:39:08.000000000	1 days 00:00:00.000000000	20170301_000000_agent_statistics.csv
2017-03-03	Reception L1	72	41	0 days 00:02:28.000000000	0 days 02:04:14.000000000	1 days 00:00:00.000000000	20170303_000000_agent_statistics.csv
2017-03-03	Back Office3	66	39	0 days 00:03:06.000000000	0 days 02:37:26.000000000	1 days 00:00:00.000000000	20170303_000000_agent_statistics.csv
2017-03-03	Reception Desk	48	42	0 days 00:01:52.000000000	0 days 01:07:40.000000000	1 days 00:00:00.000000000	20170303_000000_agent_statistics.csv
2017-03-03	Back Office1	15	9	0 days 00:01:52.000000000	0 days 00:24:38.000000000	1 days 00:00:00.000000000	20170303_000000_agent_statistics.csv
2017-03-06	Reception L1	86	95	0 days 00:03:14.000000000	0 days 02:52:50.000000000	1 days 00:00:00.000000000	20170306_000000_agent_statistics.csv
2017-03-06	Back Office3	63	102	0 days 00:03:09.000000000	0 days 02:31:51.000000000	1 days 00:00:00.000000000	20170306_000000_agent_statistics.csv
